Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull
127,34,61,Daewoo Shipbuilding & Marine,HP7585,1-HazCatA,Det Norske Veritas,341,China,228111,Sgsin >> Thlch,16.5,12.5,11130001,null,Panama,228741,341,9839296,TANGIER-MEDITERRANEAN,6.531667,399,103.545,356234000,Msc Nela,0-Underway(Engine),5104920,MSC Mediterranean Shipping Co,Minsheng Financial Leasing Co,UK P&I,Panama,Propeller : Fixed Pitch,null,null,Other Cargo Ship,10,S,In Service/Commission,Container Ship,"""2022-11-11T09:48:43.000Z""",1668160123,7-Cargo,29/06/2019,18.5,DHE
0,0,10,Basaran,TCB2027,0-AllShips,null,327.2,Turkey,200,,null,0,0,61A2333,Turkey,221,292.3,0,EREGLI,41.889248,31,28.024998,271072043,Ergun Kard.balikc-2,15-NotDefined,null,Ergun Kardesler Su Tarim,Akerko Su Urunleri Sanayi,Unknown,Trabzon,"Propeller : Yes, Type Unknown",null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T11:01:19.000Z""",1668164479,30-Fishing,null,0,SH
154,16,30,Imabari Shbldg - Imabari,YJTJ9,0-AllShips,Nippon Kaiji Kyokai,204.5,Japan,38139,Au Bbg,10.538,6.5,11220000,null,Vanuatu,23267,200,9668271,CHITTAGONG,22.106788,180,91.676985,577168000,Pacific Harmony,0-Underway(Engine),2231,Sato Steamship Co Ltd,Sato Steamship Co Ltd,Japan P&I Club,Port Vila,Propeller : Fixed Pitch,null,null,null,9.6,S,In Service/Commission,Bulk Carrier,"""2022-11-09T06:04:47.000Z""",1667973887,7-Cargo,12/06/2013,14.7,DHE
34,2,8,Watanabe Nagasaki,JD4217,0-AllShips,Flag authority,254.6,Japan,210,,3.355,0,0,null,Japan,266,300.2,0,KARATSU,33.359713,56,129.434145,431009992,Kiyomaru No.81,15-NotDefined,142993,Ito Shoten KK,  Unknown,Unknown,"Fukuoka, Fukuoka","Propeller : Yes, Type Unknown",null,null,null,0,S,In Service/Commission,Fishing Vessel,"""2022-11-11T14:20:05.000Z""",1668176405,30-Fishing,30/03/2017,0,SH
28,2,8,Moen Slip og Mek Verksted AS,LKYK,9-NoInfo,null,284.3,Norway,320,Kopervik,3.25,3.6,11091200,null,Norway,337,262,8101379,KOPERVIK,59.283653,40,5.315053,257095330,Eline,5-Moored,null,Soltin Havservice AS,Storoy Tank Services AS,Alandia,Kopervik,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:38:47.000Z""",1668184727,7-Cargo,27/04/1982,10,SH
0,0,0,null,YB5596,0-AllShips,null,276.4,null,null,,null,0,0,null,null,null,276.4,0,null,-6.689168,0,112.572833,525700018,Km Cahaya Mandiri,15-NotDefined,null,null,null,null,null,null,null,null,null,6.1,null,null,null,"""2021-11-20T18:11:23.000Z""",1637431883,30-Fishing,null,null,null
133,7,26,Shikoku Dockyard,9V9354,0-AllShips,Nippon Kaiji Kyokai,220,Singapore,13067,Vegua,9.7,9.8,11051100,null,Singapore,14284,73,9438509,LAS PIEDRAS,11.669567,162,-70.217567,566041000,Cs Standard,5-Moored,396960,Star Reefers Pool Inc,Grace Ocean Pte Ltd,Japan P&I Club,Singapore,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:24:24.000Z""",1668183864,7-Cargo,14/11/2008,21.1,null
276,37,58,Hyundai Samho Heavy Industries,3EYF7,0-AllShips,Korean Register,64.2,South Korea,250005,Krkan,18.025,18,11220500,null,Panama,133793,63,9700158,PORT HEDLAND,-8.401548,329,125.280508,354667000,Stellar Venture,0-Underway(Engine),4630114B,Polaris Shipping Co Ltd-KRS,Polaris Shipping Co Ltd-KRS,Steamship Mutual,Panama,Propeller : Fixed Pitch,null,null,null,10.7,S,In Service/Commission,Ore Carrier,"""2022-11-11T15:10:43.000Z""",1668179443,7-Cargo,27/07/2014,14.6,DHE
0,0,0,null,HOA5355,0-AllShips,null,232,null,null,Gr Kalymnos,null,0,9221100,null,null,null,232,9471678,KALIMNOS,56.6578,0,18.00356,248732000,Pola Elisaveta,0-Underway(Engine),null,null,null,null,null,null,null,null,null,11.2,null,null,null,"""2022-11-02T04:07:30.000Z""",1667362050,7-Cargo,null,null,null
18,3,6,null,WBM7130,0-AllShips,null,8.5,null,null,,null,1.5,2460,null,null,null,340.4,1,NAKNEK,59.607483,22,-151.435172,366971230,Hallo Bay,1-AtAnchor,null,null,null,null,null,null,null,null,null,0,null,null,null,"""2021-04-27T00:41:34.000Z""",1619484094,30-Fishing,null,null,null
null,null,null,null,null,null,null,109.7,null,null,null,null,null,null,null,null,null,109,null,NEWCASTLE,36.305265,null,14.346688,538005963,null,15-NotDefined,null,null,null,null,null,null,null,null,null,3.7,null,null,null,"""2022-06-26T07:43:05.000Z""",1656229385,null,null,null,null
110,2,21,Jong Shyn,PJGI,0-AllShips,Nippon Kaiji Kyokai,163.8,Marshall Islands,8726,Mavil,7.164,4.5,11081600,null,Curacao,7139,68,9797656,LAS PALMAS,23.61134,137,-16.060502,306883000,Orange  Frost,1-AtAnchor,CUR/145,Seatrade Groningen BV,Sugahara Kisen KK,Skuld,Willemstad,Propeller : Fixed Pitch,null,null,null,0.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:38:50.000Z""",1668184730,9-Other,18/02/2017,15.4,SH
87,6,16,Miyoshi Shipbuilding Co Ltd,V4ZR3,0-AllShips,null,249.9,Taiwan,6661,Kaosiung Anchorage,6.508,4.5,11040215,null,St Kitts & Nevis,3738,249.9,7374448,KAO-HSIUNG,22.8203,111,119.241,341307000,Yong Feng,2-NotUnderCmd,SKN 1003527,Shoreline Marine Ltd,  Unknown,East of England P&I,Basseterre,Propeller : Fixed Pitch,null,null,Oil tanker,0.3,S,In Service/Commission,Oil Products Tanker,"""2022-11-11T16:08:24.000Z""",1668182904,8-Tanker,30/11/1974,12,SH
12,7,14,Asenav,CB9672,0-AllShips,null,303,Chile,1650,Chincui,5,5.5,11081400,null,Chile,1367,116,9401013,PUERTO MONTT,-42.09438,60,-72.466262,725003970,Patagon Vi,1-AtAnchor,3172,Patagonia Travelling,  Unknown,Hydor,Valparaiso,Propeller : Fixed Pitch,null,null,null,0.7,S,In Service/Commission,Fish Carrier,"""2022-11-11T15:51:52.000Z""",1668181912,7-Cargo,null,12.5,SH
null,null,null,null,null,null,null,131.7,null,null,null,null,null,null,null,null,null,243,null,null,42.6019,null,141.602083,667006103,null,12-Reserved,null,null,null,null,null,null,null,null,null,6.5,null,null,null,"""2022-02-03T18:56:17.000Z""",1643914577,null,null,null,null
98,6,19,Kitanihon,UBFP5,0-AllShips,Russian Maritime Register,114.9,Russia,5078,Busan,6.537,6,10070800,null,Russia,6082,237.8,9014793,PUSAN,35.04985,126,129.001533,273398990,Frio Sapfir,3-ResManoeuvre,null,Alpha Reefer Transport GmbH,Dilmas Co Ltd,Unknown,Nakhodka,Propeller : Fixed Pitch,null,null,null,0,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:35:11.000Z""",1668184511,7-Cargo,08/04/1992,18.5,null
