,Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull,coordinates,index_right,MRGID,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3
187,27.0,3.0,8.0,,XUCF4,0-AllShips,,5.4,,,,,0.0,0.0,,,,180.3,8717025.0,,46.62251,49.0,142.770898,514922000,Tron,15-NotDefined,,,,,,,,,,0.1,,,,"""2020-09-17T00:16:33.000Z""",1600301793.0,7-Cargo,,,,POINT (142.770898 46.62251),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,71.0,5.0,12.0,Fukuoka Shipbuilding - Fukuoka,UCET,0-AllShips,Russian Maritime Register,326.7,Russia,2673.0,Barents Sea,5.344,4.9,10240400.0,,Russia,2604.0,34.0,8520496.0,MURMANSK,76.401487,94.0,44.660322,273389770,Orion-1,0-Underway(Engine),,Antey Sever LLC,  Unknown,Unknown,Vladivostok,Propeller : Fixed Pitch,,,,1.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:28:14.000Z""",1668184094.0,7-Cargo,27/02/1986,13.5,,POINT (44.660322 76.401487),273.0,5690.0,Russian Exclusive economic Zone,2240.0,200NM,2240.0,Russia,RUS,Russia,0.0,0.0,,,,0.0,0.0,,,,93.55011,71.3249,5690.0,7734809.0,RUS,,,643.0,,,643.0,,
189,252.0,18.0,45.0,Universal Shbldg - Tsu,9HA5481,9-NoInfo,,49.0,Cyprus,182307.0,Zhangjiang,18.18,18.4,11051200.0,,Malta,93190.0,51.0,9479204.0,EUROPA POINT,1.476477,292.0,104.553258,229382000,Thalassini Agatha,0-Underway(Engine),,Valhal Shipping GmbH,Enesel Ltd,Unknown,Valletta,Propeller : Fixed Pitch,,,,12.1,S,In Service/Commission,Bulk Carrier,"""2022-10-31T11:07:34.000Z""",1667214454.0,7-Cargo,27/10/2010,14.5,DHE,POINT (104.553258 1.476477),237.0,8483.0,Malaysian Exclusive Economic Zone,2230.0,200NM,2230.0,Malaysia,MYS,Malaysia,0.0,0.0,,,,0.0,0.0,,,,109.1183,5.17569,8483.0,510804.0,MYS,,,458.0,,,458.0,,
190,0.5,0.5,1.0,,,Unknown,,255.6,,,,,0.0,0.0,,,,255.6,0.0,,-5.932362,1.0,113.516265,525900910,Sinar Indah Jaya,15-NotDefined,,,,,,,,,,5.5,,,,"""2022-10-31T07:11:42.000Z""",1667200302.0,0-Unknown,,,,POINT (113.516265 -5.932362),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
191,82.0,3.0,16.0,Miyoshi Shipbuilding Co Ltd,HOHM,0-AllShips,Nippon Kaiji Kyokai,218.0,Japan,4211.0,Jp Std,6.371,4.7,10310600.0,,Panama,3802.0,280.0,9071583.0,ONOMICHI-ITOZAKI,34.3116,106.0,133.09425,372047000,Meita Maru,1-AtAnchor,5171720,Toei Reefer Line Ltd,Toei Reefer Line Ltd,Japan P&I Club,Panama,Propeller : Fixed Pitch,,,,0.2,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:31:40.000Z""",1668184300.0,7-Cargo,09/09/1993,14.5,,POINT (133.09425 34.3116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,80.0,10.0,15.0,,JVLU7,0-AllShips,,313.7,,,,,0.0,4070759.0,,,,313.0,0.0,,36.881295,98.0,122.447987,457197000,Hua Sheng,0-Underway(Engine),,,,,,,,,,0.0,,,,"""2021-06-25T06:54:47.000Z""",1624604087.0,7-Cargo,,,,POINT (122.447987 36.881295),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
193,40.0,4.0,9.0,Izutsu,,0-AllShips,,24.5,Japan,627.0,,4.28,0.0,0.0,,Japan,324.0,210.6,0.0,KARATSU,32.816358,53.0,129.76561,431401238,Kaisei No.31,15-NotDefined,130500,Kaisei Suisan KK,  Unknown,Unknown,"Nagasaki, Nagasaki",Propeller : Controllable Pitch,,,,0.0,S,In Service/Commission,Fishing Vessel,"""2022-11-11T15:17:06.000Z""",1668179826.0,30-Fishing,18/04/1989,0.0,SH,POINT (129.76561 32.816358),224.0,8487.0,Japanese Exclusive Economic Zone,2121.0,200NM,2121.0,Japan,JPN,Japan,0.0,0.0,,,,0.0,0.0,,,,138.44863,29.55656,8487.0,4066513.0,JPN,,,392.0,,,392.0,,
194,81.0,10.0,16.0,Aarhus Flydedok A/S - late,P3MG8,0-AllShips,Russian Maritime Register,268.2,Cyprus,4225.0,Ng Los>es Lpa,6.0,4.9,11182000.0,,Cyprus,3817.0,267.0,9140970.0,LAGOS,3.003125,98.0,0.94899,212857000,Belbek,0-Underway(Engine),9140970,Alpha Reefer Transport GmbH,Overseas Progress Co Ltd,West of England,Limassol,Propeller : Controllable Pitch,421285710.0,VIGO,Other Cargo Ship,12.7,S,In Service/Commission,Refrigerated Cargo Ship,"""2022-11-11T16:09:00.000Z""",1668182940.0,7-Cargo,07/06/1997,15.5,,POINT (0.94899 3.003125),267.0,8400.0,Ghanaian Exclusive Economic Zone,2100.0,200NM,2100.0,Ghana,GHA,Ghana,0.0,0.0,,,,0.0,0.0,,,,-0.85027,3.50201,8400.0,227500.0,GHA,,,288.0,,,288.0,,
195,0.0,0.0,0.0,Aykin Denizcilik,TC9820,0-AllShips,Turk Loydu,267.2,Turkey,532.0,Hopa/artvin,3.31,3.4,11081200.0,,Turkey,335.0,174.8,899218200.0,HOPA,41.381262,0.0,41.388825,271001066,Kilic12,0-Underway(Engine),TUGS 142,Kilic Deniz Urunleri Uretimi,  Unknown,Unknown,Gulluk,"Propeller : Yes, Type Unknown",,,,0.0,S,In Service/Commission,Fish Carrier,"""2022-11-11T16:15:31.000Z""",1668183331.0,7-Cargo,,0.0,SH,POINT (41.388825 41.381262),173.0,5697.0,Turkish Exclusive Economic Zone,2213.0,200NM,2213.0,Turkey,TUR,Turkey,0.0,0.0,,,,0.0,0.0,,,,33.2206,40.52224,5697.0,262233.0,TUR,,,792.0,,,792.0,,
196,0.0,0.0,0.0,,8D,0-AllShips,,18.7,,,,,0.0,0.0,,,,18.7,0.0,JAKARTA,-5.86937,0.0,106.849537,525700853,Km Bintang Dunia,15-NotDefined,,,,,,,,,,6.5,,,,"""2022-10-05T14:03:24.000Z""",1664978604.0,30-Fishing,,,,POINT (106.849537 -5.86937),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
